model,store_nbr,family,rmse,mae,wape,smape
seasonal_naive,3,DAIRY,1692.38,1283.46,0.076,0.0798
seasonal_naive,44,GROCERY I,14330.24,9382.93,0.1247,0.1225
seasonal_naive,45,BEVERAGES,19877.07,15130.0,0.2298,0.2888
seasonal_naive,46,MEATS,1267.08,1020.5,0.1346,0.1292
seasonal_naive,47,CLEANING,2420.51,1890.75,0.1097,0.1117
moving_average,3,DAIRY,1137.28,906.8,0.0537,0.054
moving_average,44,GROCERY I,12847.0,9246.09,0.1229,0.1171
moving_average,45,BEVERAGES,7873.33,5813.11,0.0883,0.086
moving_average,46,MEATS,656.72,499.76,0.0659,0.0655
moving_average,47,CLEANING,2258.81,1789.39,0.1038,0.1027
lightgbm,3,DAIRY,1058.87,793.24,0.047,0.0473
lightgbm,44,GROCERY I,11728.03,7908.65,0.1051,0.1019
lightgbm,45,BEVERAGES,9084.65,6238.72,0.0947,0.0934
lightgbm,46,MEATS,773.01,587.67,0.0775,0.0771
lightgbm,47,CLEANING,2020.03,1490.32,0.0865,0.0856
prophet,3,DAIRY,1197.67,965.96,0.0572,0.0571
prophet,44,GROCERY I,11557.75,7837.4,0.1041,0.1021
prophet,45,BEVERAGES,15330.53,12663.47,0.1923,0.2083
prophet,46,MEATS,1058.51,851.38,0.1123,0.113
prophet,47,CLEANING,2241.61,1681.51,0.0976,0.0968
